Rep	JarID	Picture	Count	very_small	pinpricks_present	clouds_present	image_quadrant	Area_counted	Area_unit	Notes	zoosp_dens_perimage
Rep1	4	1	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	4	2	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	4	3	0	FALSE	TRUE	FALSE	10	0.16651143	mm2		0
Rep1	4	4	1	FALSE	FALSE	FALSE	10	0.16651143	mm2		6.0055937301121
Rep1	4	5	0	FALSE	TRUE	FALSE	10	0.16651143	mm2		0
Rep1	4	6	0	FALSE	TRUE	FALSE	10	0.16651143	mm2		0
Rep1	4	7	0	FALSE	TRUE	FALSE	10	0.16651143	mm2		0
Rep1	4	8	0	FALSE	TRUE	FALSE	10	0.16651143	mm2		0
Rep1	4	9	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	4	10	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	4	11	0	FALSE	TRUE	FALSE	10	0.16651143	mm2		0
Rep1	4	12	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	4	13	0	FALSE	TRUE	FALSE	10	0.16651143	mm2		0
Rep1	4	14	0	FALSE	TRUE	FALSE	10	0.16651143	mm2		0
Rep1	4	15	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	7	1	10	FALSE	FALSE	FALSE	10	0.16651143	mm2		60.055937301121
Rep1	7	2	23	FALSE	FALSE	FALSE	10	0.16651143	mm2		138.128655792578
Rep1	7	3	8	FALSE	FALSE	FALSE	10	0.16651143	mm2		48.0447498408968
Rep1	7	4	11	FALSE	FALSE	FALSE	10	0.16651143	mm2		66.0615310312331
Rep1	7	5	27	FALSE	FALSE	FALSE	10	0.16651143	mm2		162.151030713027
Rep1	7	6	11	FALSE	FALSE	FALSE	10	0.16651143	mm2		66.0615310312331
Rep1	7	8	34	FALSE	FALSE	FALSE	10	0.16651143	mm2		204.190186823811
Rep1	7	9	3	FALSE	FALSE	FALSE	10	0.16651143	mm2		18.0167811903363
Rep1	7	10	0	FALSE	TRUE	FALSE	10	0.16651143	mm2		0
Rep1	7	11	8	FALSE	FALSE	FALSE	10	0.16651143	mm2		48.0447498408968
Rep1	7	12	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	7	13	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	16	1	63	FALSE	FALSE	FALSE	7	0.083255715	mm2	COUNTED VERY CONSERVATIVELY; USED IMPLIED SHAPE	756.704809994125
Rep1	16	2	420	FALSE	FALSE	FALSE	10	0.16651143	mm2		2522.34936664708
Rep1	16	3	500	FALSE	FALSE	FALSE	10	0.16651143	mm2	MEASURE -1 FOR A MISCLICK	3002.79686505605
Rep1	16	4	423	FALSE	FALSE	FALSE	10	0.16651143	mm2		2540.36614783742
Rep1	16	5	371	FALSE	FALSE	FALSE	10	0.16651143	mm2		2228.07527387159
Rep1	16	6	268	FALSE	FALSE	FALSE	8	0.083255715	mm2		3218.99823934009
Rep1	16	7	109	FALSE	FALSE	FALSE	10	0.16651143	mm2		654.609716582219
Rep1	16	8	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	16	9	277	FALSE	FALSE	FALSE	10	0.16651143	mm2		1663.54946324105
Rep1	16	10	83	FALSE	FALSE	FALSE	10	0.16651143	mm2		498.464279599304
Rep1	16	13	302	FALSE	FALSE	FALSE	10	0.16651143	mm2		1813.68930649385
Rep1	16	14	323	FALSE	FALSE	FALSE	10	0.16651143	mm2		1939.80677482621
Rep1	16	15	247	FALSE	FALSE	FALSE	10	0.16651143	mm2		1483.38165133769
Rep1	16	16	207	FALSE	FALSE	FALSE	5	0.083255715	mm2		2486.31580426641
Rep1	16	17	729	FALSE	FALSE	FALSE	10	0.16651143	mm2		4378.07782925172
Rep1	21	1	80	FALSE	TRUE	FALSE	10	0.16651143	mm2		480.447498408968
Rep1	21	2	130	FALSE	FALSE	FALSE	5	0.083255715	mm2		1561.45436982915
Rep1	21	3	113	FALSE	FALSE	FALSE	10	0.16651143	mm2		678.632091502667
Rep1	21	4	124	FALSE	FALSE	FALSE	5	0.083255715	mm2		1489.3872450678
Rep1	21	5	257	FALSE	FALSE	FALSE	10	0.16651143	mm2		1543.43758863881
Rep1	21	6	573	FALSE	FALSE	FALSE	10	0.16651143	mm2		3441.20520735423
Rep1	21	7	408	FALSE	FALSE	FALSE	10	0.16651143	mm2		2450.28224188574
Rep1	21	8	391	FALSE	FALSE	TRUE	10	0.16651143	mm2		2348.18714847383
Rep1	21	9	12	FALSE	FALSE	FALSE	7	0.083255715	mm2		144.13424952269
Rep1	21	10	52	FALSE	FALSE	FALSE	10	0.16651143	mm2		312.290873965829
Rep1	21	11	132	FALSE	FALSE	FALSE	10	0.16651143	mm2		792.738372374797
Rep1	21	12	45	FALSE	FALSE	FALSE	10	0.16651143	mm2		270.251717855045
Rep1	21	13	118	FALSE	FALSE	FALSE	6	0.083255715	mm2		1417.32012030646
Rep1	21	14	807	FALSE	FALSE	TRUE	10	0.16651143	mm2	VERY HARD TO COUNT THE DENSE CLOUD, SO I COUNTED IT AS IF THERE WAS ONE SPORANGIA IN EACH POSITION	4846.51414020047
Rep1	21	15	337	FALSE	FALSE	TRUE	9	0.083255715	mm2		4047.77017409556
Rep1	21	16	201	FALSE	FALSE	TRUE	10	0.16651143	mm2		1207.12433975253
Rep1	22	1	6	FALSE	TRUE	FALSE	10	0.16651143	mm2		36.0335623806726
Rep1	22	2	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	22	3	8	FALSE	FALSE	FALSE	10	0.16651143	mm2		48.0447498408968
Rep1	22	4	50	FALSE	FALSE	FALSE	10	0.16651143	mm2		300.279686505605
Rep1	22	5	18	FALSE	FALSE	FALSE	10	0.16651143	mm2		108.100687142018
Rep1	22	6	15	FALSE	FALSE	FALSE	10	0.16651143	mm2		90.0839059516815
Rep1	22	7	102	FALSE	FALSE	FALSE	10	0.16651143	mm2		612.570560471434
Rep1	22	8	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	22	9	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	22	10	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	22	11	4	FALSE	FALSE	FALSE	10	0.16651143	mm2		24.0223749204484
Rep1	22	12	5	FALSE	FALSE	FALSE	10	0.16651143	mm2		30.0279686505605
Rep1	22	13	7	FALSE	FALSE	FALSE	10	0.16651143	mm2		42.0391561107847
Rep1	22	14	12	FALSE	FALSE	FALSE	10	0.16651143	mm2		72.0671247613452
Rep1	22	15	7	FALSE	FALSE	FALSE	10	0.16651143	mm2		42.0391561107847
Rep1	22	16	7	FALSE	FALSE	FALSE	10	0.16651143	mm2		42.0391561107847
Rep1	23	2	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	23	3	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	23	4	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	23	5	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	23	6	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	23	7	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	23	8	7	FALSE	FALSE	FALSE	10	0.16651143	mm2		42.0391561107847
Rep1	23	9	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	23	10	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	23	11	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	23	12	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	23	13	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	23	14	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
Rep1	23	15	0	FALSE	FALSE	FALSE	10	0.16651143	mm2		0
